epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,6676.44,0.8965,1.14676,0.63139,0.00387,0.2137,0.86506,0.80823,0.86743,0.72299,0.85158,0.79458,0.84499,0.59388,0.86223,1.22385,0.79361,0.00551,0,0.000101151,0.000101151,0.000101151
86,6753.98,0.89852,1.16318,0.63477,0.00389,0.21439,0.8628,0.80674,0.8658,0.72328,0.8464,0.79155,0.84134,0.59363,0.85772,1.22807,0.79176,0.00549,0,9.9653e-05,9.9653e-05,9.9653e-05
87,6831.25,0.88906,1.14515,0.62273,0.00386,0.20959,0.86396,0.80299,0.86619,0.72302,0.85005,0.78648,0.84221,0.59497,0.85904,1.22981,0.79606,0.00552,0,9.81548e-05,9.81548e-05,9.81548e-05
88,6909.2,0.89079,1.15507,0.62977,0.0039,0.21257,0.87245,0.80213,0.86645,0.72479,0.85849,0.78711,0.84479,0.60208,0.85479,1.22233,0.78935,0.0055,0,9.66566e-05,9.66566e-05,9.66566e-05
89,6987.5,0.90137,1.16517,0.63332,0.00387,0.20953,0.86264,0.80339,0.86556,0.72315,0.8505,0.78842,0.84297,0.59921,0.85693,1.22368,0.79246,0.0055,0,9.51584e-05,9.51584e-05,9.51584e-05
90,7065.51,0.90343,1.16759,0.62827,0.0039,0.21059,0.8634,0.80515,0.86289,0.72244,0.84818,0.79208,0.84128,0.59654,0.85791,1.21914,0.79819,0.0055,0,9.36602e-05,9.36602e-05,9.36602e-05
91,7142.97,0.89028,1.15192,0.62217,0.00385,0.20723,0.86398,0.80337,0.86466,0.72261,0.84815,0.78636,0.83936,0.59392,0.85991,1.218,0.80119,0.00551,0,9.2162e-05,9.2162e-05,9.2162e-05
92,7220.97,0.8985,1.15931,0.63051,0.00385,0.21167,0.87349,0.7991,0.8639,0.72121,0.86234,0.78099,0.83854,0.59195,0.85982,1.23645,0.80719,0.0055,0,9.06638e-05,9.06638e-05,9.06638e-05
93,7298.45,0.88287,1.14021,0.61376,0.00384,0.20506,0.8689,0.80216,0.86525,0.72211,0.8606,0.78072,0.84196,0.59466,0.85525,1.22034,0.79254,0.00551,0,8.91656e-05,8.91656e-05,8.91656e-05
94,7376.19,0.88231,1.13663,0.61469,0.00381,0.20424,0.86157,0.80993,0.86564,0.72413,0.85152,0.79209,0.84387,0.59894,0.85663,1.21908,0.8,0.0055,0,8.76674e-05,8.76674e-05,8.76674e-05
95,7453.51,0.88684,1.1332,0.61618,0.00385,0.20385,0.87501,0.79832,0.86797,0.72646,0.86019,0.7852,0.84487,0.60245,0.85604,1.22516,0.80122,0.00553,0,8.61692e-05,8.61692e-05,8.61692e-05
96,7531.26,0.87862,1.13269,0.60708,0.00377,0.20471,0.87244,0.8049,0.86669,0.72487,0.85572,0.78684,0.84113,0.59416,0.86191,1.21909,0.8019,0.00555,0,8.4671e-05,8.4671e-05,8.4671e-05
97,7608.75,0.87524,1.1288,0.6074,0.00373,0.20265,0.86678,0.80385,0.86525,0.72401,0.85306,0.78497,0.8401,0.59541,0.85301,1.21643,0.80407,0.00543,0,8.31728e-05,8.31728e-05,8.31728e-05
98,7686.23,0.88407,1.13778,0.60699,0.00379,0.20194,0.86225,0.80981,0.86558,0.72358,0.84938,0.79303,0.84236,0.59563,0.85785,1.22644,0.80457,0.00557,0,8.16746e-05,8.16746e-05,8.16746e-05
99,7763.2,0.87686,1.13054,0.60369,0.00376,0.19982,0.85754,0.81749,0.86722,0.72476,0.84765,0.7927,0.84219,0.5959,0.85338,1.22008,0.79845,0.00553,0,8.01764e-05,8.01764e-05,8.01764e-05
100,7841.03,0.87135,1.1245,0.60471,0.00373,0.20098,0.86772,0.80557,0.86665,0.72594,0.85352,0.78957,0.84403,0.59724,0.85503,1.20784,0.8004,0.00551,0,7.86782e-05,7.86782e-05,7.86782e-05
101,7919.01,0.87739,1.12411,0.60154,0.00373,0.20038,0.86915,0.80598,0.86902,0.72903,0.85806,0.78831,0.84551,0.60266,0.84777,1.21964,0.797,0.00541,0,7.718e-05,7.718e-05,7.718e-05
102,7996.8,0.86974,1.11546,0.59652,0.00374,0.19595,0.87324,0.80482,0.86826,0.7276,0.85841,0.78863,0.84496,0.6003,0.84966,1.22447,0.80257,0.00539,0,7.56818e-05,7.56818e-05,7.56818e-05
103,8074.37,0.86331,1.10619,0.59193,0.0037,0.1978,0.86624,0.80517,0.86755,0.72676,0.85096,0.78749,0.84427,0.59699,0.84795,1.22308,0.79441,0.0054,0,7.41836e-05,7.41836e-05,7.41836e-05
104,8152.01,0.87466,1.12193,0.60086,0.00375,0.19742,0.87445,0.80484,0.86922,0.72942,0.85917,0.78745,0.84523,0.60048,0.84974,1.21828,0.79756,0.00543,0,7.26854e-05,7.26854e-05,7.26854e-05
105,8229.18,0.86554,1.11873,0.59069,0.0037,0.19296,0.86414,0.80726,0.86739,0.72787,0.85322,0.78824,0.84488,0.60089,0.84902,1.21535,0.80707,0.00538,0,7.11872e-05,7.11872e-05,7.11872e-05
106,8306.69,0.87231,1.12376,0.59992,0.00373,0.19795,0.87372,0.80374,0.86786,0.72761,0.85793,0.78705,0.84455,0.59804,0.8509,1.21452,0.79749,0.0054,0,6.9689e-05,6.9689e-05,6.9689e-05
107,8383.97,0.86441,1.11123,0.59143,0.00371,0.19686,0.86288,0.80586,0.86776,0.72794,0.8561,0.78481,0.84442,0.5998,0.85182,1.23239,0.80495,0.00544,0,6.81908e-05,6.81908e-05,6.81908e-05
108,8461.62,0.85898,1.10495,0.58549,0.00367,0.19479,0.8763,0.80379,0.86867,0.72922,0.86244,0.78711,0.84529,0.60068,0.84855,1.21912,0.80053,0.0054,0,6.66926e-05,6.66926e-05,6.66926e-05
109,8539.17,0.86146,1.10325,0.58929,0.00367,0.19412,0.8715,0.80405,0.86848,0.73003,0.87428,0.77643,0.84547,0.60045,0.84975,1.22454,0.7999,0.00541,0,6.51944e-05,6.51944e-05,6.51944e-05
110,8616.44,0.86684,1.12206,0.58876,0.0037,0.19269,0.87539,0.80374,0.86928,0.72961,0.86396,0.78743,0.84663,0.60232,0.84513,1.21886,0.79431,0.00538,0,6.36962e-05,6.36962e-05,6.36962e-05
111,8694.02,0.8564,1.09789,0.58384,0.00365,0.19441,0.86648,0.8081,0.86802,0.72805,0.85546,0.79204,0.84709,0.6017,0.84837,1.22808,0.8016,0.00542,0,6.2198e-05,6.2198e-05,6.2198e-05
112,8772.14,0.86095,1.10337,0.58272,0.00366,0.19319,0.87035,0.80818,0.86787,0.72827,0.85643,0.79192,0.84475,0.59803,0.8478,1.22762,0.80038,0.00537,0,6.06998e-05,6.06998e-05,6.06998e-05
113,8849.85,0.85712,1.10046,0.5777,0.00362,0.19179,0.87077,0.80895,0.86877,0.72907,0.85486,0.79303,0.84469,0.59994,0.84811,1.23053,0.80116,0.00541,0,5.92016e-05,5.92016e-05,5.92016e-05
114,8927.77,0.86437,1.10679,0.58232,0.00364,0.1917,0.87272,0.80875,0.86948,0.72987,0.86285,0.78848,0.84541,0.60069,0.85007,1.22876,0.79874,0.00543,0,5.77034e-05,5.77034e-05,5.77034e-05
115,9004.93,0.85251,1.09748,0.57544,0.00359,0.19094,0.8726,0.80847,0.86837,0.72977,0.85876,0.79233,0.84495,0.60228,0.84691,1.22597,0.80355,0.00538,0,5.62052e-05,5.62052e-05,5.62052e-05
